epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4207.29,1.05516,0.91588,0.00347,0.81892,0.73664,0.80559,0.65477,0.82497,0.79927,0.0042,0.00127092,0.00127092,0.00127092
74,4273.62,1.09083,0.95147,0.00357,0.82142,0.72395,0.80687,0.64633,0.81805,0.7799,0.00385,0.00126542,0.00126542,0.00126542
75,4340.72,1.11682,0.94211,0.00344,0.8285,0.73433,0.81219,0.65176,0.8403,0.77037,0.00416,0.00125992,0.00125992,0.00125992
76,4408.31,1.12759,0.94768,0.00377,0.81542,0.74782,0.81717,0.65899,0.85193,0.77318,0.00408,0.00125442,0.00125442,0.00125442
77,4476.71,1.13689,0.96288,0.00355,0.84032,0.72693,0.81196,0.64309,0.84996,0.7402,0.00399,0.00124892,0.00124892,0.00124892
78,4545.51,1.10316,0.95484,0.00353,0.85264,0.72245,0.811,0.65557,0.82241,0.76663,0.00399,0.00124342,0.00124342,0.00124342
79,4613.34,1.10071,0.93797,0.00364,0.82934,0.72707,0.8045,0.63703,0.88633,0.76384,0.00416,0.00123791,0.00123791,0.00123791
80,4680.54,1.07833,0.92654,0.00343,0.81911,0.7479,0.81054,0.6477,0.85689,0.77005,0.00411,0.00123241,0.00123241,0.00123241
81,4747.35,1.07768,0.9359,0.0035,0.8323,0.7348,0.80852,0.65855,0.81195,0.79263,0.00398,0.00122691,0.00122691,0.00122691
82,4812.89,1.07792,0.93522,0.00351,0.83429,0.73485,0.81017,0.66854,0.81844,0.74001,0.00402,0.00122141,0.00122141,0.00122141
83,4878.13,1.06406,0.92003,0.00348,0.83464,0.73802,0.80916,0.66643,0.79107,0.73487,0.00373,0.00121591,0.00121591,0.00121591
84,4943.78,1.068,0.9113,0.00334,0.81488,0.75006,0.80789,0.65733,0.82648,0.72427,0.0039,0.00121041,0.00121041,0.00121041
85,5010.11,1.04501,0.90162,0.00339,0.84193,0.73646,0.81225,0.65318,0.84067,0.76097,0.00397,0.00120491,0.00120491,0.00120491
86,5076.34,1.06566,0.91439,0.00346,0.85274,0.70686,0.80584,0.65591,0.83917,0.76856,0.00411,0.00119941,0.00119941,0.00119941
87,5143.19,1.06546,0.92308,0.00343,0.81626,0.73994,0.81136,0.66869,0.77416,0.75945,0.00362,0.00119391,0.00119391,0.00119391
88,5209.65,1.09587,0.92526,0.00345,0.81708,0.73493,0.81085,0.66511,0.82493,0.75272,0.00393,0.0011884,0.0011884,0.0011884
