epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2977.43,1.38988,0.86602,0.00412,0.77443,0.62358,0.71215,0.49374,1.30526,0.83852,0.00593,0.00130943,0.00130943,0.00130943
67,3021.47,1.38494,0.85697,0.00409,0.78887,0.63382,0.71362,0.49164,1.31607,0.85782,0.00604,0.00130393,0.00130393,0.00130393
68,3065.46,1.34136,0.85912,0.00408,0.76316,0.62806,0.70439,0.48586,1.3706,0.89566,0.00652,0.00129843,0.00129843,0.00129843
69,3110.41,1.37257,0.85219,0.00416,0.76064,0.62955,0.71817,0.50679,1.28259,0.84128,0.00599,0.00129293,0.00129293,0.00129293
70,3155.28,1.34492,0.84984,0.00396,0.76953,0.63666,0.72188,0.50516,1.23678,0.83284,0.00554,0.00128742,0.00128742,0.00128742
71,3199.25,1.366,0.84522,0.00409,0.78601,0.6426,0.72092,0.5037,1.24224,0.83539,0.00569,0.00128192,0.00128192,0.00128192
72,3243.74,1.39628,0.86099,0.00409,0.78239,0.63462,0.72258,0.50813,1.24131,0.81138,0.0056,0.00127642,0.00127642,0.00127642
73,3288.18,1.33393,0.84544,0.004,0.75274,0.66049,0.72381,0.51098,1.21347,0.8581,0.00548,0.00127092,0.00127092,0.00127092
74,3332.78,1.39328,0.85788,0.00401,0.76738,0.63489,0.70681,0.49269,1.26862,0.88429,0.00555,0.00126542,0.00126542,0.00126542
75,3376.73,1.36774,0.84239,0.0039,0.76085,0.6344,0.71305,0.49884,1.29444,0.89796,0.00597,0.00125992,0.00125992,0.00125992
76,3421.55,1.38701,0.85148,0.00394,0.76387,0.63772,0.71171,0.48199,1.30886,0.94394,0.00576,0.00125442,0.00125442,0.00125442
77,3466.37,1.36768,0.82922,0.00395,0.75005,0.6692,0.72829,0.51337,1.21,0.82362,0.00541,0.00124892,0.00124892,0.00124892
78,3510.7,1.34095,0.8359,0.00394,0.77302,0.63807,0.72024,0.49371,1.29753,0.87034,0.00572,0.00124342,0.00124342,0.00124342
79,3555.33,1.33666,0.83102,0.00395,0.78316,0.63629,0.72634,0.50244,1.21121,0.8643,0.00525,0.00123791,0.00123791,0.00123791
80,3599.01,1.3316,0.83411,0.00391,0.79254,0.64175,0.72982,0.50433,1.22083,0.86941,0.00561,0.00123241,0.00123241,0.00123241
81,3643.47,1.33511,0.82912,0.00393,0.80328,0.64857,0.72995,0.51171,1.22325,0.86828,0.00562,0.00122691,0.00122691,0.00122691
82,3688.33,1.36445,0.81949,0.00401,0.75547,0.65318,0.72022,0.50874,1.19367,0.82869,0.00535,0.00122141,0.00122141,0.00122141
83,3732.42,1.32877,0.82668,0.00388,0.77214,0.65726,0.72587,0.5069,1.23049,0.836,0.00549,0.00121591,0.00121591,0.00121591
84,3776.48,1.33325,0.8372,0.00385,0.79832,0.64388,0.72988,0.52121,1.14944,0.8359,0.00502,0.00121041,0.00121041,0.00121041
