epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,398.485,1.68854,1.52592,0.00465,0.67957,0.5797,0.68038,0.40834,1.58637,1.34531,0.00659,0.00130943,0.00130943,0.00130943
67,404.569,1.60887,1.48434,0.00485,0.67957,0.5797,0.68038,0.40834,1.58637,1.34531,0.00659,0.00130393,0.00130393,0.00130393
68,410.615,1.50836,1.49209,0.00483,0.65594,0.61906,0.68329,0.40835,1.60913,1.33384,0.00666,0.00129843,0.00129843,0.00129843
69,416.792,1.68112,1.46116,0.00427,0.65594,0.61906,0.68329,0.40835,1.60913,1.33384,0.00666,0.00129293,0.00129293,0.00129293
70,422.471,1.60917,1.42182,0.00455,0.65594,0.61906,0.68329,0.40835,1.60913,1.33384,0.00666,0.00128742,0.00128742,0.00128742
71,428.722,1.72155,1.57322,0.005,0.67201,0.63331,0.70131,0.41382,1.64605,1.28019,0.00684,0.00128192,0.00128192,0.00128192
72,434.783,1.72229,1.46677,0.00462,0.67201,0.63331,0.70131,0.41382,1.64605,1.28019,0.00684,0.00127642,0.00127642,0.00127642
73,440.712,1.64461,1.44572,0.00485,0.71418,0.66297,0.73792,0.43484,1.5774,1.25855,0.00653,0.00127092,0.00127092,0.00127092
74,446.406,1.5048,1.36517,0.00446,0.71418,0.66297,0.73792,0.43484,1.5774,1.25855,0.00653,0.00126542,0.00126542,0.00126542
75,452.231,1.50663,1.39545,0.00446,0.71418,0.66297,0.73792,0.43484,1.5774,1.25855,0.00653,0.00125992,0.00125992,0.00125992
76,458.1,1.65376,1.44608,0.00478,0.68507,0.6691,0.73967,0.43115,1.57356,1.26234,0.00664,0.00125442,0.00125442,0.00125442
77,463.881,1.49288,1.41832,0.00431,0.68507,0.6691,0.73967,0.43115,1.57356,1.26234,0.00664,0.00124892,0.00124892,0.00124892
78,469.928,1.54405,1.38081,0.00452,0.68507,0.6691,0.73967,0.43115,1.57356,1.26234,0.00664,0.00124342,0.00124342,0.00124342
79,476.146,1.52258,1.27472,0.00416,0.68399,0.68502,0.73093,0.42161,1.59854,1.22352,0.00674,0.00123791,0.00123791,0.00123791
80,482.117,1.57269,1.30217,0.00458,0.68399,0.68502,0.73093,0.42161,1.59854,1.22352,0.00674,0.00123241,0.00123241,0.00123241
81,488.007,1.71893,1.42913,0.00489,0.67582,0.66554,0.73011,0.42531,1.58505,1.19847,0.00651,0.00122691,0.00122691,0.00122691
