epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,15099.9,0.76417,0.82565,0.00281,0.88227,0.69494,0.81639,0.69407,0.64787,0.74166,0.00379,0.0013466,0.0013466,0.0013466
101,15239.6,0.75937,0.81031,0.00282,0.86958,0.70755,0.81844,0.70457,0.6188,0.73827,0.00361,0.00134,0.00134,0.00134
102,15381.4,0.7749,0.8145,0.00286,0.86725,0.70146,0.82066,0.71007,0.59244,0.73721,0.00344,0.0013334,0.0013334,0.0013334
103,15522,0.76779,0.8008,0.00282,0.88281,0.69903,0.82229,0.70374,0.62798,0.7226,0.00361,0.0013268,0.0013268,0.0013268
104,15663,0.75415,0.82281,0.00274,0.88,0.7039,0.81603,0.69651,0.63394,0.72679,0.00364,0.0013202,0.0013202,0.0013202
105,15803.7,0.75139,0.80128,0.00271,0.88477,0.69955,0.82182,0.70974,0.60468,0.72462,0.00352,0.0013136,0.0013136,0.0013136
106,15945,0.74872,0.79812,0.00273,0.89044,0.70418,0.81765,0.70428,0.60917,0.73593,0.00346,0.001307,0.001307,0.001307
107,16085.3,0.73581,0.80891,0.00276,0.86709,0.7039,0.81571,0.70128,0.60263,0.73487,0.00346,0.0013004,0.0013004,0.0013004
108,16226.6,0.75841,0.8089,0.00274,0.88204,0.70198,0.81317,0.69987,0.62011,0.72837,0.00363,0.0012938,0.0012938,0.0012938
109,16368.9,0.73789,0.80412,0.00268,0.89719,0.70443,0.821,0.70841,0.61234,0.72203,0.00352,0.0012872,0.0012872,0.0012872
110,16509.6,0.74873,0.80213,0.00275,0.88127,0.71153,0.82244,0.70454,0.62528,0.71509,0.00363,0.0012806,0.0012806,0.0012806
111,16650.7,0.7572,0.80722,0.00276,0.88407,0.6999,0.81942,0.69839,0.6366,0.74182,0.00382,0.001274,0.001274,0.001274
112,16791.4,0.75658,0.80079,0.00273,0.87812,0.69642,0.81568,0.70551,0.60625,0.73888,0.00348,0.0012674,0.0012674,0.0012674
113,16931.3,0.75185,0.8078,0.00279,0.88135,0.70817,0.82343,0.71032,0.60768,0.71628,0.0036,0.0012608,0.0012608,0.0012608
114,17071.5,0.75072,0.80508,0.00284,0.88462,0.69676,0.81727,0.70209,0.62189,0.72506,0.00359,0.0012542,0.0012542,0.0012542
115,17214.7,0.73065,0.79268,0.00272,0.86935,0.71225,0.81911,0.70513,0.6118,0.72759,0.00359,0.0012476,0.0012476,0.0012476
116,17355.7,0.76161,0.80269,0.0028,0.88952,0.70459,0.82568,0.70633,0.63159,0.72564,0.00378,0.001241,0.001241,0.001241
117,17496.5,0.74475,0.79246,0.00271,0.89497,0.7027,0.81893,0.71351,0.5844,0.71328,0.00339,0.0012344,0.0012344,0.0012344
118,17637.3,0.73273,0.7778,0.00264,0.8872,0.71033,0.82362,0.7125,0.59208,0.69848,0.00348,0.0012278,0.0012278,0.0012278
119,17776.6,0.73357,0.79386,0.00274,0.8785,0.71069,0.82135,0.7173,0.58824,0.70342,0.00341,0.0012212,0.0012212,0.0012212
120,17918.8,0.74385,0.79265,0.00273,0.88784,0.70507,0.81595,0.70653,0.60287,0.71359,0.00341,0.0012146,0.0012146,0.0012146
121,18060.6,0.72322,0.78739,0.00272,0.88314,0.69798,0.81447,0.70123,0.60575,0.72415,0.00344,0.001208,0.001208,0.001208
122,18202,0.72465,0.79102,0.00266,0.89754,0.69491,0.81926,0.70891,0.5928,0.7186,0.00351,0.0012014,0.0012014,0.0012014
123,18354.1,0.75347,0.79436,0.0028,0.89796,0.70216,0.82046,0.71492,0.58631,0.71442,0.00335,0.0011948,0.0011948,0.0011948
124,18491,0.7476,0.79905,0.00274,0.88618,0.71138,0.82391,0.71124,0.60653,0.69649,0.00347,0.0011882,0.0011882,0.0011882
125,18630.3,0.73396,0.77262,0.00259,0.89484,0.70929,0.82776,0.71938,0.58967,0.69326,0.00336,0.0011816,0.0011816,0.0011816
126,18770.4,0.72203,0.78193,0.00276,0.89873,0.70459,0.82585,0.72153,0.58458,0.69491,0.00335,0.001175,0.001175,0.001175
127,18911.8,0.71345,0.77344,0.00263,0.88993,0.71459,0.82983,0.72139,0.59291,0.68396,0.00339,0.0011684,0.0011684,0.0011684
128,19054.2,0.71051,0.78207,0.0026,0.88943,0.70877,0.82629,0.71866,0.59213,0.71136,0.00342,0.0011618,0.0011618,0.0011618
